Review,Sentiment
excellent product,Positive
amazing quality,Positive
very good item,Positive
loved this product,Positive
worth buying,Positive
fast delivery,Positive
good packaging,Positive
nice experience,Positive
awesome product,Positive
best purchase,Positive
bad quality,Negative
waste of money,Negative
very poor product,Negative
not recommended,Negative
delivery was late,Negative
terrible experience,Negative
bad packaging,Negative
worst product,Negative
average quality,Neutral
product is okay,Neutral
nothing special,Neutral
normal performance,Neutral
average experience,Neutral